timesteps,train_reward,eval_reward
10000,-0.10605692000000005,2.9319494739174843
20000,2.36273759,2.790107551217079
30000,3.0037532199999997,3.7157865546643736
40000,3.3376818899999994,4.45227507725358
50000,4.1484258,5.7108509603422135
60000,3.779557119999999,4.634725755453109
70000,3.37158414,3.724885080754757
80000,3.2468432800000007,3.867932613939047
90000,3.39582151,3.9135087717324497
100000,4.371413020000001,4.698748976085335
110000,3.91014366,4.2630825821310285
120000,4.35971341,6.30410745665431
130000,4.03561209,4.229660695791244
140000,3.66183882,5.687719419598579
150000,3.4382671399999998,4.562793413177133
160000,3.5775481399999993,3.398512291908264
170000,4.35361551,4.862311608344316
180000,4.07226311,4.572346044331789
190000,4.51805837,5.209353458462283
200000,4.147364820000001,6.282410582900047
210000,3.6986734900000005,3.850738215446472
220000,3.6067248000000003,4.505947528779506
230000,3.6135543399999994,3.499322297424078
240000,4.421545249999999,4.901618422940373
250000,4.11790199,4.158847754169256
260000,4.5808262200000005,4.89760844707489
270000,4.11960262,6.422148691862821
280000,3.75231844,4.644072228670121
290000,3.70902287,5.185711970925331
300000,3.59740973,4.2810935016721485
310000,4.497069150000001,3.843515881150961
320000,4.1759254100000005,5.0251469075679776
330000,4.67694903,4.6590558655560015
340000,4.27088814,6.037307468801737
350000,3.642909889999999,5.457216066122055
360000,3.8195475400000003,4.300910621881485
370000,3.56320739,4.197121412307024
380000,4.442908060000001,3.5327848136425017
390000,4.10427434,5.279857089556754
400000,4.6874249500000005,4.884354718402028
410000,4.31894458,5.567518208175898
420000,3.77217381,5.543924702703952
430000,3.8696225500000003,5.058447879552841
440000,3.56011837,5.1213688343763355
450000,4.336925959999999,3.6236566234380008
460000,4.121930539999999,4.4195973221212626
470000,4.654252120000001,4.917459386587143
480000,4.302275890000001,4.55284633487463
490000,3.8016287100000006,6.461102167516946
500000,4.0295517599999995,5.341290485858917
510000,3.4975555000000003,4.264997301995754
520000,4.367061720000001,4.125515437126159
530000,4.08542072,3.6423103481531145
540000,4.650892239999999,5.7102574063465
550000,4.30886878,4.565889236330986
560000,3.90424936,6.499075733870268
570000,3.9594094700000007,4.746284925937653
580000,3.4908107299999993,5.767277631163597
590000,4.3789090900000005,4.805232464894653
600000,4.028586949999999,3.586610972881317
610000,4.641078180000001,5.0206178776919845
620000,4.38422148,4.602630023658276
630000,3.9783027,5.486896003037691
640000,4.126935120000001,6.119276151061058
650000,3.47509157,4.1674781262874605
660000,4.227404610000001,4.857896803319454
670000,4.119020439999999,3.6686109244823455
680000,4.56692296,4.297727257013321
690000,4.38145763,4.989557043090462
700000,4.04634615,4.969085690379143
710000,4.27669292,6.294609283655882
720000,3.5170329000000002,4.9810775995254515
730000,4.325627010000001,5.668163660168648
740000,4.19316352,4.35888856984675
750000,4.53982666,3.64235264621675
760000,4.5652736,5.047309071570635
770000,4.0534921,4.6429517105221745
780000,4.4130126999999995,6.033057893067598
790000,3.53650616,5.605694258213044
800000,4.33980409,4.359985834360122
810000,4.19549924,4.662400422990322
820000,4.4206718700000005,3.430230498313904
830000,4.630617270000001,5.073400659114123
840000,4.07424403,5.046846141293645
850000,4.39553023,5.585024503618479
860000,3.5864422,5.788108552992344
870000,4.322530700000001,4.975780594348907
880000,4.09148342,5.557011386752128
890000,4.419688890000001,3.9074610341340303
900000,4.700011819999999,4.17353243380785
910000,4.09460929,5.202596190012992
920000,4.5973438699999996,4.476917959749699
930000,3.6145930199999996,6.613418757170439
940000,4.30669335,5.336797498166561
950000,4.15332147,4.685057662427425
960000,4.325751050000001,4.1665951073169705
970000,4.82705568,3.6458851009607316
980000,4.0380443,5.470409262552858
990000,4.64213402,4.623423379659653
1000000,3.70218217,6.154597679525613
