Agent,Baseline Costs,P2P Costs,Savings %,P2P (kWh),Grid (kWh),Peer Trade %
1_Prosumer,-164892.2,-137164.96,16.82,5914.4,3248.66,64.55
2_Prosumer,-130158.63,-125012.17,3.95,1161.15,5809.82,16.66
3_Prosumer,-95350.67,-92685.55,2.8,654.46,5029.1,11.51
4_Prosumer,-113329.42,-111575.42,1.55,432.03,6007.09,6.71
5_Prosumer,-118145.01,-117101.23,0.88,255.35,6415.25,3.83
6_Buyer,-162313.07,-157548.57,2.94,1244.31,7397.93,14.4
7_Buyer,-146565.78,-143327.65,2.21,879.5,6869.59,11.35
8_Seller,16463.6,21960.74,33.39,1219.6,949.63,56.22
9_Seller,16638.13,21497.29,29.2,1032.09,1148.58,47.33
10_Seller,55527.08,80837.95,45.58,5255.83,912.86,85.2
COMMUNITY TOTAL,-842125.9700000001,-760119.57,9.74,18048.72,43788.51,
