Agent,Baseline Net ($),P2P Net ($),Savings ($),P2P Traded (kWh),Grid Traded (kWh),Peer Trade %
1_Prosumer,-130158.6282,-97503.65,32654.9782,4888.32,2082.65,70.12
2_Prosumer,-95350.6724,-88624.504,6726.1684,1396.67,4286.89,24.57
3_Prosumer,-113329.421,-109562.1226,3767.2983,816.32,5622.8,12.68
4_Prosumer,-118145.012,-116207.056,1937.956,420.16,6250.45,6.3
5_Buyer,-162313.0659,-154345.8875,7967.1784,1444.33,7197.91,16.71
6_Buyer,-146565.7785,-141146.1903,5419.5882,1021.24,6727.85,13.18
7_Seller,16463.6021,19884.5596,3420.9576,1285.49,883.75,59.26
8_Seller,16638.1276,19619.3104,2981.1828,1065.46,1115.21,48.86
9_Seller,55527.0802,70759.3248,15232.2447,5278.87,889.82,85.58
10_Prosumer,-164892.202,-162805.6149,2086.5871,401.62,8732.58,4.4
